# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
11,Pre-Flop,1,-94,94,CALL,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h']",,6h,2,2
11,Flop,1,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h']",,6h,100,100
11,Flop,0,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h']",,6h,100,100
11,Turn,1,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h', '3s']",,6h,100,100
11,Turn,0,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h', '3s']",,6h,100,100
11,River,1,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h', '3s', '4h']",,6h,100,100
11,River,0,-94,94,CHECK,0,"['8s', '7h']","['As', 'Ah']","['2s', '5h', '8h', '3s', '4h']",,6h,100,100
12,Pre-Flop,0,-194,194,RAISE,98,"['7d', '4s']","['3d', '2d']","['4d', '8d']",,,1,1
12,Pre-Flop,1,-194,194,DISCARD,0,"['7d', '4s']","['3d', '2d']","['4d', '8d']",,,2,2
12,Pre-Flop,1,-194,194,FOLD,0,"['7d', '4s']","['3d', '2h']","['4d', '8d']",,2d,2,2
13,Pre-Flop,1,-192,192,CALL,0,"['6d', '6h']","['9d', '2d']","['2h', '8d']",,,1,1
13,Pre-Flop,0,-192,192,RAISE,98,"['6d', '6h']","['9d', '2d']","['2h', '8d']",,,2,2
13,Pre-Flop,1,-192,192,DISCARD,0,"['6d', '6h']","['9d', '2d']","['2h', '8d']",,,2,2
13,Pre-Flop,1,-192,192,CALL,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d']",,2d,2,2
13,Flop,1,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h']",,2d,100,100
13,Flop,0,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h']",,2d,100,100
13,Turn,1,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h', '3d']",,2d,100,100
13,Turn,0,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h', '3d']",,2d,100,100
13,River,1,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h', '3d', '2s']",,2d,100,100
13,River,0,-192,192,CHECK,0,"['6d', '6h']","['9d', 'Ad']","['2h', '8d', '4h', '3d', '2s']",,2d,100,100
14,Pre-Flop,0,-92,92,RAISE,98,"['2h', '5h']","['3h', '4h']","['6s', '6h']",,,1,1
14,Pre-Flop,1,-92,92,DISCARD,0,"['2h', '5h']","['3h', '4h']","['6s', '6h']",,,2,2
14,Pre-Flop,1,-92,92,CALL,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h']",,3h,2,2
14,Flop,0,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d']",,3h,100,100
14,Flop,1,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d']",,3h,100,100
14,Turn,0,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d', 'Ad']",,3h,100,100
14,Turn,1,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d', 'Ad']",,3h,100,100
14,River,0,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d', 'Ad', 'As']",,3h,100,100
14,River,1,-92,92,CHECK,0,"['2h', '5h']","['Ah', '4h']","['6s', '6h', '5d', 'Ad', 'As']",,3h,100,100
15,Pre-Flop,1,-192,192,CALL,0,"['2s', 'Ah']","['As', '3h']","['3d', '3s']",,,1,1
15,Pre-Flop,0,-192,192,RAISE,98,"['2s', 'Ah']","['As', '3h']","['3d', '3s']",,,2,2
15,Pre-Flop,1,-192,192,DISCARD,0,"['2s', 'Ah']","['As', '3h']","['3d', '3s']",,,2,2
15,Pre-Flop,1,-192,192,CALL,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s']",,3h,2,2
15,Flop,1,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h']",,3h,100,100
15,Flop,0,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h']",,3h,100,100
15,Turn,1,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h', '9h']",,3h,100,100
15,Turn,0,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h', '9h']",,3h,100,100
15,River,1,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h', '9h', '7s']",,3h,100,100
15,River,0,-192,192,CHECK,0,"['2s', 'Ah']","['As', 'Ad']","['3d', '3s', '4h', '9h', '7s']",,3h,100,100
16,Pre-Flop,0,-292,292,RAISE,98,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah']",,,1,1
16,Pre-Flop,1,-292,292,CALL,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah']",,,2,2
16,Flop,0,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h']",,,100,100
16,Flop,1,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h']",,,100,100
16,Turn,0,-292,292,CHECK,0,"['4d', '6d']","['Ad', '3d']","['5d', 'Ah', '8h', '8s']",,,100,100
